name,manufacturer,price,salt_name,strength
Arnil,Brookes,Rs 75,Diclofenac Sodium,75mg
Artifen,Abbott Laboratories,Rs 77,Diclofenac Sodium,50mg
Advacort Ointment,Atco,Rs 160,"Methylprednisolone Aceponate, Topical",5 g
AV-Sartan 10 mg/ 160 mg,Barrett,Rs 600,Amlodipine,
Aidra,Wilshire,Rs 400,Leflunomide,20mg
Acabel,Continental Pharma,Rs 125,Lornoxicam,4mg
Acabel,Continental Pharma,Rs 209,Lornoxicam,8mg
Atcam,Atco,Rs 220,Lornoxicam,8mg
Apranax,Martin Dow,Rs 194,Naproxen,550mg
Aproxen DS,Schazoo Pharmaceuticals,Rs 195,Naproxen,550mg
Axicam,Mass-PH Health,Rs 252,Piroxicam,20mg
Adronil,Searle,"Rs 2,231",Ibandronic Acid,3mg
Aurora,Ferozsons,Rs 366,Rosuvastatin calcium,10mg
Abriva 400mg,CCL,"Rs 5,868",Sofosbuvir,
Anplag,Pharm Evo,Rs 786,Ticagrelor,90mg
Arixtra 2.5mg Pre filled Syringe 5ml,Aspin Pharma,"Rs 4,350",Fondaparinux Sodium,
Anvol,Aspin Pharma,Rs 327,Nebivolol HCl,10 mg
Anvol 2.5mg,Aspin Pharma,Rs 155,Nebivolol HCl,
Awzi,Amson,Rs 266,Azithromycin,250mg
Amlo-Q,High-Q,Rs 94,Amlodipine,5mg
Adablizer,Adamjee Pharmaceuticals,Rs 133,Aripiprazole,10mg
Acnes Scar Care,Rohto Mentholatum,Rs 691,,
Aqua D,Matrix,Rs 440,,
AD Folic 600mcg,Pharm Evo,Rs 225,Quatrefolate,600mcg
Adapco Forte Gel 15G,Atco,Rs 435,Adapalene,3mg
Apizyt 120 ml syrup,Hinucon,Rs 280,,
Aquavit,Wilson's,Rs 21,Calcium Supplement,
Alcuflex 550mg,ICI Pakistan Limited,Rs 213,Naproxen,
Amorin,Mass-PH Health,Rs 198,Azathioprine,50mg
Actifed-DM,GlaxoSmithKline,Rs 146,pseudoephedrine,1.25mg
Avsar,Pharm Evo,Rs 247,Amlodipine besylate,5mg
Ampress 10mg Tablet,Barrett,Rs 200,Amlodipine,
Aminovel 600mg Injection,Otsuka,Rs 906,Amino Acid Solution,
Atenolol 100mg,Zafa,Rs 66,Atenolol,
Alzilo,Searle,Rs 202,,
Amgydex Eye Drop 5ml,Kobec,Rs 215,Dexamethasone,
Actiflor,Pharm Evo,Rs 56,Saccharomyces Boulardii,250mg
Ampiclox Drop 90mg,GlaxoSmithKline,Rs 126,Ampicillin and Cloxacillin,90mg
Awardin Plus,Werick,Rs 263,,
Amgy,Kobec,Rs 150,,
Amlocard 10,Pharmatec,Rs 233,Amlodipine,
